1	
EPOCH    TRAIN ERROR    VAL ERROR	
100    0.34416666666667    0.25792	
101    0.34454222222222    0.25791	
102    0.34536222222222    0.25791	
103    0.34460555555556    0.25779	
104    0.34474111111111    0.25787	
105    0.34457666666667    0.25787	
106    0.34433222222222    0.25786	
107    0.34512    0.25774	
108    0.34459    0.25786	
109    0.34407444444444    0.2579	
110    0.34475888888889    0.25791	
111    0.34438222222222    0.25788	
112    0.34510666666667    0.25792	
113    0.34461222222222    0.25793	
114    0.34516888888889    0.2579	
115    0.34432777777778    0.25792	
116    0.34457333333333    0.25787	
117    0.34447555555556    0.25789	
118    0.34494666666667    0.25791	
119    0.34418333333333    0.25785	
120    0.34423333333333    0.25789	
121    0.34522    0.25787	
122    0.34454333333333    0.25789	
123    0.34477555555556    0.2579	
124    0.34433333333333    0.25791	
125    0.34520444444444    0.25792	
126    0.34450111111111    0.2579	
127    0.34487666666667    0.25792	
128    0.34453777777778    0.25787	
129    0.34385111111111    0.25788	
130    0.34452444444444    0.25789	
131    0.34424333333333    0.25788	
132    0.34449777777778    0.25791	
133    0.34467333333333    0.25789	
134    0.34448    0.25788	
135    0.34468666666667    0.25786	
136    0.34438333333333    0.25789	
137    0.34411444444444    0.2579	
138    0.34471555555556    0.2579	
139    0.34496333333333    0.25792	
140    0.34469222222222    0.25791	
141    0.34422888888889    0.25791	
142    0.34468777777778    0.25791	
143    0.34442333333333    0.25792	
144    0.34429222222222    0.25791	
145    0.34458444444444    0.25792	
146    0.34449777777778    0.25793	
147    0.34434666666667    0.25793	
148    0.34482333333333    0.25792	
149    0.34400333333333    0.25793	
150    0.34484777777778    0.25793	
151    0.34451222222222    0.25792	
152    0.34438777777778    0.25792	
153    0.34447555555556    0.25793	
154    0.34500444444444    0.25793	
155    0.34500666666667    0.25793	
156    0.34424111111111    0.25793	
157    0.34447222222222    0.25793	
158    0.34507666666667    0.25793	
159    0.34457222222222    0.25793	
160    0.34443    0.25793	
161    0.34433555555556    0.25793	
162    0.34482111111111    0.25793	
163    0.34460111111111    0.25793	
164    0.34431777777778    0.25793	
165    0.34444333333333    0.25793	
166    0.34446555555556    0.25793	
167    0.34444777777778    0.25793	
168    0.34473333333333    0.25793	
169    0.34438444444444    0.25794	
170    0.34438111111111    0.25794	
171    0.34448333333333    0.25794	
172    0.34438111111111    0.25794	
173    0.34501444444444    0.25794	
174    0.34422222222222    0.25794	
175    0.34487777777778    0.25794	
176    0.34482777777778    0.25794	
177    0.34524333333333    0.25794	
178    0.34427666666667    0.25794	
179    0.34455222222222    0.25794	
180    0.34495777777778    0.25794	
181    0.34452222222222    0.25794	
182    0.34485555555556    0.25794	
183    0.34503666666667    0.25794	
184    0.34533555555556    0.25794	
185    0.34474333333333    0.25794	
186    0.34459666666667    0.25794	
187    0.34463444444444    0.25794	
188    0.34496555555556    0.25794	
189    0.34419    0.25794	
190    0.34475555555556    0.25794	
191    0.34462777777778    0.25794	
192    0.34457888888889    0.25794	
193    0.34459444444444    0.25794	
194    0.34469444444444    0.25794	
195    0.34440444444444    0.25794	
196    0.34490888888889    0.25794	
197    0.34461888888889    0.25794	
198    0.34409444444444    0.25794	
199    0.34463333333333    0.25794	
200    0.34469777777778    0.25794	
